ISIN;Name;Source;Asset Kind;Exchange
IE00B4ND3602;iShares Physical Gold ETC;TGD;Stock market;Tradegate
IE00B4NCWG09;iShares Physical Silver ETC;TGD;Stock market;Tradegate
NL0000337319;Koninklijke BAM Groep NV;TGD;Stock market;Tradegate
IE000U9ODG19;iShares Global Aerospace & Defence ETF;TGD;Stock market;Tradegate
IE00B4L5Y983;iShares Core MSCI World UCITS ETF;TGD;Stock market;Tradegate
DE0007030009;Rheinmetall AG;TGD;Stock market;Tradegate
BMG3602E1084;Flow Traders Ltd;TGD;Stock market;Tradegate
IE000YYE6WK5;VanEck Defense UCITS ETF A;TGD;Stock market;Tradegate
IE00B5L8K969;iShares MSCI EM Asia UCITS ETF;TGD;Stock market;Tradegate
IE00BK5BC891;L&G Clean Water UCITS ETF;TGD;Stock market;Tradegate
JE00BQRFDY49;WisdomTree Core Physical Silver ETC;TGD;Stock market;Tradegate
JE00BN2CJ301;WisdomTree Core Physical Gold ETC;TGD;Stock market;Tradegate
DE000A0H08F7;iShares STOXX Europe 600 Construction & Materials ETF;TGD;Stock market;Tradegate
IE0006WW1TQ4;Xtrackers MSCI World ex USA UCITS ETF 1C;TGD;Stock market;Tradegate
IE00BD1F4M44;iShares Edge MSCI USA Value Factor UCITS ETF;TGD;Stock market;Tradegate
IE00B5BMR087;iShares Core S&P 500 UCITS ETF;TGD;Stock market;Tradegate
IE000CFH1JX2;iShares Global Water UCITS ETF;TGD;Stock market;Tradegate
IE00BYTRRB94;SPDR MSCI World Health Care UCITS ETF;TGD;Stock market;Tradegate
IE00BM67HK77;Xtrackers MSCI World Health Care UCITS ETF 1C;TGD;Stock market;Tradegate
IE00BMH5Y327;Global X Data Center REITS & Digital Infrastructure ETF;TGD;Stock market;Tradegate
IE000CK5G8J7;iShares Global Infrastructure UCITS ETF;TGD;Stock market;Tradegate
IE00BYZK4552;iShares Automation & Robotics UCITS ETF;TGD;Stock market;Tradegate
IE00B53SZB19;iShares Nasdaq 100 UCITS ETF;TGD;Stock market;Tradegate
IE000E7EI9P0;Amundi S&P Global Information Technology ESG UCITS ETF;TGD;Stock market;Tradegate
IE00BF5DXP42;First Trust Index Innovative Transaction & Process UCITS ETF;TGD;Stock market;Tradegate
NL0012706154;BND Wereld Indexfonds Hedged;FTD;Stock market;Funds
NL0012706196;BND Wereld Obligatie Indexfonds;FTD;Stock market;Funds
NL0012706238;BND Wereld Indexfonds Unhedged;FTD;Stock market;Funds
NL0014040164;BND Emerging Markets Indexfonds;FTD;Stock market;Funds
NL0013546955;BND Small Cap Wereld Indexfonds Carbon Screened;FTD;Stock market;Funds
NL0012706220;BND Euro Investment Grade Obligatie Indexfonds;FTD;Stock market;Funds
NL0012706204;BND Euro Staatsobligatie Indexfonds;FTD;Stock market;Funds
NL0012706279;BND Euro Staatsobligatie Indexfonds Inflatie;FTD;Stock market;Funds
IE00BVVQ9K69;Selected Screened FTSE Developed World II (B) Common Contractual Fund - EUR Hedged Acc;FTD;Stock market;Funds
IE000FZ5BIF1;Vanguard Global Government Bond Index EUR Hedged Acc;FTD;Stock market;Funds
IE00BNDS0V25;Vanguard ESG Global Corporate Bond Index Fund EUR Hedged Acc;FTD;Stock market;Funds
IE00BVVQBD33;Vanguard Selected Screened FTSE Developed II (B) World Common Contractual Fd Instl B EUR Acc;FTD;Stock market;Funds
NL0013089147;Northern Trust UCITS FGR Fund - Emerging Markets Screened Equity Index FGR Fund E EUR;FTD;Stock market;Funds
NL0013552094;NT World Small Cap Low Carbon Equity Index FGR Feeder Fund Class C EUR Units;FTD;Stock market;Funds
IE00BYSX5D68;Vanguard Selected Screened Euro Investment Grade Bond Index Fund EUR Acc;FTD;Stock market;Funds
IE0007472990;Vanguard Euro Government Bond Index Fund EUR Acc;FTD;Stock market;Funds
